,state0,state1,state2,action_p,action_n,reward,state_0,state_1,state_2,a_loss
121,-0.03507118672132492,-1.0,-0.3063264787197113,-1.0,-0.30565696954727173,-0.0016513201072638685,-0.03479472175240517,-1.0,-0.30565696954727173,0.006865271832793951
122,-0.03479472175240517,-1.0,-0.30565696954727173,-1.0,-0.3052680194377899,-0.0016321614486215143,-0.0345427468419075,-1.0,-0.3052680194377899,0.006593021564185619
123,-0.0345427468419075,-1.0,-0.3052680194377899,-1.0,-0.3050999343395233,-0.0016148769267699148,-0.03433121740818024,-1.0,-0.3050999343395233,0.0056260814890265465
124,-0.03433121740818024,-1.0,-0.3050999343395233,-1.0,-0.3051251173019409,-0.0016005041746848276,-0.03416980803012848,-1.0,-0.3051251173019409,0.04847319424152374
125,-0.03416980803012848,-1.0,-0.3051251173019409,-1.0,-0.3053039610385895,-0.0015896353099448697,-0.03406219929456711,-1.0,-0.3053039610385895,0.007396195083856583
126,-0.03406219929456711,-1.0,-0.3053039610385895,-1.0,-0.30498141050338745,-0.0015823099519059504,-0.033947449177503586,-1.0,-0.30498141050338745,0.0061136833392083645
127,-0.033947449177503586,-1.0,-0.30498141050338745,-1.0,-0.30469444394111633,-0.0015745376163752629,-0.03383064270019531,-1.0,-0.30469444394111633,0.005484897643327713
128,-0.03383064270019531,-1.0,-0.30469444394111633,-1.0,-0.3046233654022217,-0.0015667066056109687,-0.03373324126005173,-1.0,-0.3046233654022217,0.027643518522381783
129,-0.03373324126005173,-1.0,-0.3046233654022217,-1.0,-0.30471888184547424,-0.0015602348778845177,-0.03366710618138313,-1.0,-0.30471888184547424,0.006162256933748722
130,-0.03366710618138313,-1.0,-0.30471888184547424,-1.0,-0.3049527406692505,-0.0015558925056335382,-0.03363867104053497,-1.0,-0.3049527406692505,0.006674966774880886
131,-0.03363867104053497,-1.0,-0.3049527406692505,-1.0,-0.30533483624458313,-0.0015540968874034513,-0.03365391492843628,-1.0,-0.30533483624458313,0.009676927700638771
132,-0.03365391492843628,-1.0,-0.30533483624458313,-1.0,-0.30574169754981995,-0.0015552087614101634,-0.0337054505944252,-1.0,-0.30574169754981995,0.009447705000638962
133,-0.0337054505944252,-1.0,-0.30574169754981995,-1.0,-0.30615973472595215,-0.0015587372245361945,-0.03378620743751526,-1.0,-0.30615973472595215,0.005164564121514559
134,-0.03378620743751526,-1.0,-0.30615973472595215,-1.0,-0.30671074986457825,-0.0015642516471499359,-0.0339026004076004,-1.0,-0.30671074986457825,0.017000580206513405
135,-0.0339026004076004,-1.0,-0.30671074986457825,-1.0,-0.3073766231536865,-0.0015721909780974177,-0.034057870507240295,-1.0,-0.3073766231536865,0.00836575124412775
136,-0.034057870507240295,-1.0,-0.3073766231536865,-1.0,-0.30814987421035767,-0.0015827959933705268,-0.03425383195281029,-1.0,-0.30814987421035767,0.007590197958052158
137,-0.03425383195281029,-1.0,-0.30814987421035767,-1.0,-0.3090144097805023,-0.001596221323977977,-0.03449029475450516,-1.0,-0.3090144097805023,0.0063838474452495575
138,-0.03449029475450516,-1.0,-0.3090144097805023,-1.0,-0.30983424186706543,-0.0016124677299343853,-0.034753747284412384,-1.0,-0.30983424186706543,0.005956903100013733
